field_1,region,total_burned_acres,id,total_burned)acres_int,id_int
"0",ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,"50695","97000000","50695","97000000"
"1",ΛΑΡΙΣΑΣ,"24079","42000000","24079","42000000"
"2",ΑΤΤΙΚΗΣ,"12535","99000000","12535","99000000"
"3",ΚΥΚΛΑΔΩΝ,"10421","82000000","10421","82000000"
"4",ΚΟΡΙΝΘΙΑΣ,"10117","15000000","10117","15000000"
"5",ΕΥΒΟΙΑΣ,"7614","4000000","7614","4000000"
"6",ΚΙΛΚΙΣ,"6908","57000000","6908","57000000"
"7",ΗΛΕΙΑΣ,"5226","14000000","5226","14000000"
"8",ΧΑΝΙΩΝ,"3499","94000000","3499","94000000"
"9",ΘΕΣΣΑΛΟΝΙΚΗΣ,"3203","54000000","3203","54000000"
"10",ΣΕΡΡΩΝ,"2638","62000000","2638","62000000"
"11",ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"2216","98000000","2216","98000000"
"12",ΚΟΖΑΝΗΣ,"1939","58000000","1939","58000000"
"13",ΚΑΡΔΙΤΣΑΣ,"1915","41000000","1915","41000000"
"14",ΚΕΦΑΛΛΟΝΙΑΣ,"1880","23000000","1880","23000000"
"15",ΞΑΝΘΗΣ,"1566","72000000","1566","72000000"
"16",ΡΟΔΟΠΗΣ,"1561","73000000","1561","73000000"
"17",ΣΑΜΟΥ,"1505","84000000","1505","84000000"
"18",ΒΟΙΩΤΙΑΣ,"1392","3000000","1392","3000000"
"19",ΦΛΩΡΙΝΑΣ,"1313","63000000","1313","63000000"
"20",ΠΙΕΡΙΑΣ,"1140","61000000","1140","61000000"
"21",ΔΡΑΜΑΣ,"1131","52000000","1131","52000000"
"22",ΜΕΣΣΗΝΙΑΣ,"1106","17000000","1106","17000000"
"23",ΕΒΡΟΥ,"1071","71000000","1071","71000000"
"24",ΛΑΚΩΝΙΑΣ,"981","16000000","981","16000000"
"25",ΚΑΣΤΟΡΙΑΣ,"940","56000000","940","56000000"
"26",ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,"902","1000000","902","1000000"
"27",ΤΡΙΚΑΛΩΝ,"807","44000000","807","44000000"
"28",ΗΡΑΚΛΕΙΟΥ,"787","91000000","787","91000000"
"29",ΜΑΓΝΗΣΙΑΣ,"772","43000000","772","43000000"
"30",ΑΡΚΑΔΙΑΣ,"733","12000000","733","12000000"
"31",ΠΕΛΛΑΣ,"564","59000000","564","59000000"
"32",ΖΑΚΥΝΘΟΥ,"553","21000000","553","21000000"
"33",ΑΧΑΙΑΣ,"483","13000000","483","13000000"
"34",ΦΘΙΩΤΙΔΑΣ,"476","6000000","476","6000000"
"35",ΗΜΑΘΙΑΣ,"470","53000000","470","53000000"
"36",ΚΑΒΑΛΑΣ,"445","55000000","445","55000000"
"37",ΓΡΕΒΕΝΩΝ,"348","51000000","348","51000000"
"38",ΙΩΑΝΝΙΝΩΝ,"335","33000000","335","33000000"
"39",ΔΩΔΕΚΑΝΗΣΩΝ,"308","81000000","308","81000000"
"40",ΚΕΡΚΥΡΑΣ,"301","22000000","301","22000000"
"41",ΛΑΣΙΘΙΟΥ,"253","92000000","253","92000000"
"42",ΛΕΣΒΟΥ,"251","83000000","251","83000000"
"43",ΑΡΤΑΣ,"234","31000000","234","31000000"
"44",ΡΕΘΥΜΝΟΥ,"226","93000000","226","93000000"
"45",ΦΩΚΙΔΟΣ,"216","7000000","216","7000000"
"46",ΧΙΟΥ,"159","85000000","159","85000000"
"47",ΘΕΣΠΡΩΤΙΑΣ,"140","32000000","140","32000000"
"48",ΠΡΕΒΕΖΗΣ,"95","34000000","95","34000000"
"49",ΠΕΙΡΑΙΩΣ - ΝΗΣΩΝ ΑΤΤΙΚΗΣ,"40","96000000","40","96000000"
"50",ΛΕΥΚΑΔΟΣ,"21","24000000","21","24000000"
"51",ΧΑΛΚΙΔΙΚΗΣ,"18","64000000","18","64000000"
"52",ΑΡΓΟΛΙΔΟΣ,"2","11000000","2","11000000"
"53",ΕΥΡΥΤΑΝΙΑΣ,"0","5000000","0","5000000"
,,,"0",,"0"
,,,"0",,"0"
