,Κατάστημα_κράτησης,Συνολική_χωρητικότητα_σε_θέσεις,Κρατούμενοι,Πληρότητα_καταστήματος,%Πληρότητα
1,ΑΓΙΑΣ ΧΑΝΙΩΝ,178,115,-63,64.60674157303372
2,ΚΑΣΣΑΝΔΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,308,301,-7,97.72727272727273
3,ΤΙΡΥΝΘΑΣ ΑΡΓΟΛΙΔΑΣ,302,226,-76,74.83443708609272
4,ΚΑΥΦ,32,34,2,106.25
5,ΑΥΛΩΝΑ,217,230,13,105.99078341013825
6,ΒΟΛΟΥ,54,105,51,194.44444444444443
7,ΚΑΣΣΑΒΕΤΕΙΑΣ,274,187,-87,68.24817518248175
8,ΚΑΤΚΕΘ ΕΛΕΩΝΑ ΘΗΒΩΝ,96,34,-62,35.41666666666667
9,ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΚΟΡΥΔΑΛΛΟΥ,253,195,-58,77.07509881422925
10,ΨΥΧΙΑΤΡΕΙΟ ΚΟΡΥΔΑΛΛΟΥ,261,216,-47,82.75862068965517
11,ΑΛΙΚΑΡΝΑΣΣΟΥ,210,211,1,100.47619047619048
12,ΑΜΦΙΣΣΑΣ,102,132,30,129.41176470588235
13,ΓΡΕΒΕΝΩΝ,600,594,-6,99.0
14,ΓΥΝΑΙΚΩΝ ΕΛΕΩΝΑ ΘΗΒΩΝ,655,369,-286,56.33587786259542
15,ΔΟΜΟΚΟΥ,600,583,-17,97.16666666666667
16,ΘΕΣΣΑΛΟΝΙΚΗΣ,358,498,140,139.10614525139664
17,ΙΩΑΝΝΙΝΩΝ,66,119,53,180.3030303030303
18,ΚΕΡΚΥΡΑΣ,138,217,79,157.24637681159422
19,ΚΟΜΟΤΗΝΗΣ,162,311,149,191.97530864197532
20,ΚΟΡΙΝΘΟΥ,46,16,-30,34.78260869565217
21,ΚΟΡΥΔΑΛΛΟΥ Ι,1222,1498,275,122.58592471358429
22,ΚΟΡΥΔΑΛΛΟΥ ΙΙ,174,136,-38,78.16091954022988
23,ΚΩ,56,101,45,180.35714285714286
24,ΛΑΡΙΣΑΣ,554,646,86,116.60649819494584
25,ΜΑΛΑΝΔΡΙΝΟΥ,431,427,-4,99.07192575406032
26,ΝΑΥΠΛΙΟΥ,273,341,67,124.9084249084249
27,ΝΕΑΠΟΛΗΣ,45,58,13,128.88888888888889
28,ΝΙΓΡΙΤΑΣ ΣΕΡΡΩΝ,480,515,35,107.29166666666667
29,ΠΑΤΡΑΣ,446,541,95,121.30044843049328
30,ΤΡΙΚΑΛΩΝ,600,587,-13,97.83333333333334
31,ΤΡΙΠΟΛΗΣ,53,125,72,235.8490566037736
32,ΧΑΛΚΙΔΑΣ,127,203,76,159.84251968503938
33,ΧΑΝΙΩΝ,480,487,6,101.45833333333334
34,ΧΙΟΥ,82,137,55,167.0731707317073
