Illinois,3854
New York,3196
Texas,2949
California,1969
North Carolina,1123
Michigan,981
Louisiana,979
Ohio,972
Massachusetts,909
Pennsylvania,883
Florida,808
Virginia,733
Missouri,539
Maryland,467
Wisconsin,451
New Jersey,433
Indiana,405
Georgia,405
Oklahoma,375
District of Columbia,353
Washington,330
Connecticut,282
Mississippi,280
Tennessee,272
Alabama,220
Kentucky,201
Nevada,188
Nebraska,170
Arizona,167
Montana,163
Oregon,114
Colorado,111
West Virginia,111
Utah,103
Kansas,102
Iowa,100
Puerto Rico,84
Fed-NY,78
Alaska,76
South Carolina,74
New Mexico,72
Idaho,63
Arkansas,61
Minnesota,55
Delaware,45
Rhode Island,43
Hawaii,34
Fed-IL,34
Fed-CA,31
Wyoming,30
Fed-PA,25
Fed-Military,25
South Dakota,25
Fed-VA,25
Fed-TN,25
Fed-WI,23
Fed-MO,22
Fed-TX,21
Fed-MA,21
North Dakota,21
Fed-FL,21
Vermont,20
Fed-AZ,19
Fed-MD,18
Maine,12
Fed-AL,12
Fed-MT,9
Fed-WA,5
Fed-LA,5
Fed-NV,4
Fed-DC,4
Fed-ND,4
New Hampshire,4
Fed-CT,3
Fed-MI,3
Fed-NM,3
Fed-OH,3
Fed-NJ,2
Fed-KY,1
Fed-SD,1
Guam,1
Fed-MN,0
