State,years,years_int
Alabama,"232","232"
Alaska,"76","76"
Arizona,"186","186"
Arkansas,"61","61"
California,"2000","2000"
Colorado,"111","111"
Connecticut,"285","285"
Delaware,"45","45"
District of Columbia,"357","357"
Fed-Military,"25","25"
Florida,"829","829"
Georgia,"405","405"
Guam,"1","1"
Hawaii,"34","34"
Idaho,"63","63"
Illinois,"3888","3888"
Indiana,"405","405"
Iowa,"100","100"
Kansas,"102","102"
Kentucky,"202","202"
Louisiana,"984","984"
Maine,"12","12"
Maryland,"485","485"
Massachusetts,"930","930"
Michigan,"984","984"
Minnesota,"55","55"
Mississippi,"280","280"
Missouri,"561","561"
Montana,"172","172"
Nebraska,"170","170"
Nevada,"192","192"
New Hampshire,"4","4"
New Jersey,"435","435"
New Mexico,"75","75"
New York,"3274","3274"
North Carolina,"1123","1123"
North Dakota,"25","25"
Ohio,"975","975"
Oklahoma,"375","375"
Oregon,"114","114"
Pennsylvania,"908","908"
Puerto Rico,"84","84"
Rhode Island,"43","43"
South Carolina,"74","74"
South Dakota,"26","26"
Tennessee,"297","297"
Texas,"2970","2970"
Utah,"103","103"
Vermont,"20","20"
Virginia,"758","758"
Washington,"335","335"
West Virginia,"111","111"
Wisconsin,"474","474"
Wyoming,"30","30"
